İl,İl_Kodu,Kategori,Yıl,Toplam_Nüfus,Erkek,Kadın,Şehir,Köy,Çocuk_0_14,Genç_15_24,Yetişkin_25_64,Yaşlı_65+,Büyüme_Oranı_%,Nüfus_Yoğunluğu_km2
Bitlis,13,Küçük Şehir,2010,311709,156477,155232,218196,93513,71693,49873,155854,34289,0.8,387.2
Bitlis,13,Küçük Şehir,2011,316273,158769,157504,224553,91720,72742,50603,158136,34792,0.8,469.9
Bitlis,13,Küçük Şehir,2012,317379,159324,158055,228512,88867,72997,50780,158689,34913,0.8,437.2
Bitlis,13,Küçük Şehir,2013,320037,160658,159379,233627,86410,73608,51205,160018,35206,0.8,455.9
Bitlis,13,Küçük Şehir,2014,322630,161960,160670,238746,83884,74204,51620,161315,35491,0.8,452.5
Bitlis,13,Küçük Şehir,2015,326828,164067,162761,245121,81707,75170,52292,163414,35952,0.8,544.7
Bitlis,13,Küçük Şehir,2016,329070,165193,163877,250093,78977,75686,52651,164535,36198,0.8,379.6
Bitlis,13,Küçük Şehir,2017,331667,166496,165171,255383,76284,76283,53066,165833,36485,0.8,407.5
Bitlis,13,Küçük Şehir,2018,332360,166844,165516,259240,73120,76442,53177,166180,36561,0.8,538.7
Bitlis,13,Küçük Şehir,2019,334924,168131,166793,264589,70335,77032,53587,167462,36843,0.8,458.2
Bitlis,13,Küçük Şehir,2020,339075,170215,168860,271260,67815,77987,54252,169537,37299,0.8,467.7
Bitlis,13,Küçük Şehir,2021,343339,172356,170983,278104,65235,78967,54934,171669,37769,0.8,530.7
Bitlis,13,Küçük Şehir,2022,342940,172155,170785,281210,61730,78876,54870,171470,37724,0.8,569.7
Bitlis,13,Küçük Şehir,2023,347339,174364,172975,288291,59048,79887,55574,173669,38209,0.8,593.7
Bitlis,13,Küçük Şehir,2024,350273,175837,174436,294229,56044,80562,56043,175136,38532,0.8,541.4
Bolu,14,Küçük Şehir,2005,275384,138242,137142,178999,96385,63338,44061,137692,30293,0.8,316.9
Bolu,14,Küçük Şehir,2006,277719,139414,138305,183294,94425,63875,44435,138859,30550,0.8,478.0
Bolu,14,Küçük Şehir,2007,279660,140389,139271,187372,92288,64321,44745,139830,30764,0.8,367.5
Bolu,14,Küçük Şehir,2008,282189,141658,140531,191888,90301,64903,45150,141094,31042,0.8,433.5
Bolu,14,Küçük Şehir,2009,282851,141991,140860,195167,87684,65055,45256,141425,31115,0.8,408.2
Bolu,14,Küçük Şehir,2010,284917,143028,141889,199441,85476,65530,45586,142458,31343,0.8,435.0
Bolu,14,Küçük Şehir,2011,289405,145281,144124,205477,83928,66563,46304,144702,31836,0.8,377.8
Bolu,14,Küçük Şehir,2012,290606,145884,144722,209236,81370,66839,46496,145303,31968,0.8,312.8
Bolu,14,Küçük Şehir,2013,293355,147264,146091,214149,79206,67471,46936,146677,32271,0.8,526.7
Bolu,14,Küçük Şehir,2014,294266,147721,146545,217756,76510,67681,47082,147133,32370,0.8,361.5
Bolu,14,Küçük Şehir,2015,298481,149837,148644,223860,74621,68650,47756,149240,32835,0.8,318.9
Bolu,14,Küçük Şehir,2016,301131,151167,149964,228859,72272,69260,48180,150565,33126,0.8,464.0
Bolu,14,Küçük Şehir,2017,303562,152388,151174,233742,69820,69819,48569,151781,33393,0.8,319.9
Bolu,14,Küçük Şehir,2018,305851,153537,152314,238563,67288,70345,48936,152925,33645,0.8,358.6
Bolu,14,Küçük Şehir,2019,307337,154283,153054,242796,64541,70687,49173,153668,33809,0.8,370.7
Bolu,14,Küçük Şehir,2020,308706,154970,153736,246964,61742,71002,49392,154353,33959,0.8,411.1
Bolu,14,Küçük Şehir,2021,311354,156299,155055,252196,59158,71611,49816,155677,34250,0.8,501.4
Bolu,14,Küçük Şehir,2022,314140,157698,156442,257594,56546,72252,50262,157070,34556,0.8,462.0
Bolu,14,Küçük Şehir,2023,316003,158633,157370,262282,53721,72680,50560,158001,34762,0.8,550.5
Bolu,14,Küçük Şehir,2024,321148,161216,159932,269764,51384,73864,51383,160574,35327,0.8,414.9
Burdur,15,Küçük Şehir,2005,232844,116887,115957,151348,81496,53554,37255,116422,25613,0.8,352.8
Burdur,15,Küçük Şehir,2006,233930,117432,116498,154393,79537,53803,37428,116965,25734,0.8,346.6
Burdur,15,Küçük Şehir,2007,234983,117961,117022,157438,77545,54046,37597,117491,25849,0.8,389.7
Burdur,15,Küçük Şehir,2008,236785,118866,117919,161013,75772,54460,37885,118392,26048,0.8,302.8
Burdur,15,Küçük Şehir,2009,240290,120625,119665,165800,74490,55266,38446,120145,26433,0.8,288.8
Burdur,15,Küçük Şehir,2010,240886,120924,119962,168620,72266,55403,38541,120443,26499,0.8,255.2
Burdur,15,Küçük Şehir,2011,244201,122588,121613,173382,70819,56166,39072,122100,26863,0.8,360.7
Burdur,15,Küçük Şehir,2012,244782,122880,121902,176243,68539,56299,39165,122391,26927,0.8,369.2
Burdur,15,Küçük Şehir,2013,247204,124096,123108,180458,66746,56856,39552,123602,27194,0.8,309.4
Burdur,15,Küçük Şehir,2014,249331,125164,124167,184504,64827,57346,39892,124665,27428,0.8,365.1
Burdur,15,Küçük Şehir,2015,250632,125817,124815,187974,62658,57645,40101,125316,27570,0.8,439.7
Burdur,15,Küçük Şehir,2016,252975,126993,125982,192261,60714,58184,40476,126487,27828,0.8,282.7
Burdur,15,Küçük Şehir,2017,254791,127905,126886,196189,58602,58601,40766,127395,28029,0.8,276.9
Burdur,15,Küçük Şehir,2018,258008,129520,128488,201246,56762,59341,41281,129004,28382,0.8,320.1
Burdur,15,Küçük Şehir,2019,259767,130403,129364,205215,54552,59746,41562,129883,28576,0.8,367.9
Burdur,15,Küçük Şehir,2020,260317,130679,129638,208253,52064,59872,41650,130158,28637,0.8,453.5
Burdur,15,Küçük Şehir,2021,263782,132418,131364,213663,50119,60669,42205,131891,29017,0.8,395.5
Burdur,15,Küçük Şehir,2022,266486,133775,132711,218518,47968,61291,42637,133243,29315,0.8,331.9
Burdur,15,Küçük Şehir,2023,267944,134507,133437,222393,45551,61627,42871,133972,29474,0.8,371.6
Burdur,15,Küçük Şehir,2024,270048,135564,134484,226840,43208,62111,43207,135024,29706,0.8,468.0
Bursa,16,Metropol,2005,2008011,1008021,999990,1305207,702804,461842,321281,1004005,220883,2.5,2750.7
Bursa,16,Metropol,2006,2043903,1026039,1017864,1348975,694928,470097,327024,1021951,224831,2.5,2784.6
Bursa,16,Metropol,2007,2108930,1058682,1050248,1412983,695947,485053,337428,1054465,231984,2.5,3190.5
Bursa,16,Metropol,2008,2146923,1077755,1069168,1459907,687016,493792,343507,1073461,236163,2.5,3143.4
Bursa,16,Metropol,2009,2208733,1108783,1099950,1524025,684708,508008,353397,1104366,242962,2.5,3005.1
Bursa,16,Metropol,2010,2266983,1138025,1128958,1586888,680095,521406,362717,1133491,249369,2.5,2948.0
Bursa,16,Metropol,2011,2326401,1167853,1158548,1651744,674657,535072,372224,1163200,255905,2.5,2911.6
Bursa,16,Metropol,2012,2375695,1192598,1183097,1710500,665195,546409,380111,1187847,261328,2.5,2702.7
Bursa,16,Metropol,2013,2428404,1219058,1209346,1772734,655670,558532,388544,1214202,267126,2.5,3565.9
Bursa,16,Metropol,2014,2489945,1249952,1239993,1842559,647386,572687,398391,1244972,273895,2.5,3401.6
Bursa,16,Metropol,2015,2569018,1289647,1279371,1926763,642255,590874,411042,1284509,282593,2.5,3495.3
Bursa,16,Metropol,2016,2626895,1318701,1308194,1996440,630455,604185,420303,1313447,288960,2.5,3920.7
Bursa,16,Metropol,2017,2693740,1352257,1341483,2074179,619561,619560,430998,1346870,296312,2.5,3955.6
Bursa,16,Metropol,2018,2765829,1388446,1377383,2157346,608483,636140,442532,1382914,304243,2.5,2974.0
Bursa,16,Metropol,2019,2821319,1416302,1405017,2228842,592477,648903,451411,1410659,310346,2.5,3722.1
Bursa,16,Metropol,2020,2907192,1459410,1447782,2325753,581439,668654,465150,1453596,319792,2.5,4465.7
Bursa,16,Metropol,2021,2957811,1484821,1472990,2395826,561985,680296,473249,1478905,325361,2.5,3787.2
Bursa,16,Metropol,2022,3052304,1532256,1520048,2502889,549415,702029,488368,1526152,335755,2.5,4508.6
Bursa,16,Metropol,2023,3114341,1563399,1550942,2584903,529438,716298,498294,1557170,342579,2.5,5662.4
Bursa,16,Metropol,2024,3207884,1610357,1597527,2694622,513262,737813,513261,1603942,352868,2.5,3641.2
Çanakkale,17,Orta Ölçek,2005,447429,224609,222820,290828,156601,102908,71588,223714,49219,1.2,625.8
Çanakkale,17,Orta Ölçek,2006,450669,226235,224434,297441,153228,103653,72107,225334,49575,1.2,722.2
Çanakkale,17,Orta Ölçek,2007,456173,228998,227175,305635,150538,104919,72987,228086,50181,1.2,761.6
Çanakkale,17,Orta Ölçek,2008,462647,232248,230399,314599,148048,106408,74023,231323,50893,1.2,521.0
Çanakkale,17,Orta Ölçek,2009,470552,236217,234335,324680,145872,108226,75288,235276,51762,1.2,616.7
Çanakkale,17,Orta Ölçek,2010,473034,237463,235571,331123,141911,108797,75685,236517,52035,1.2,817.0
Çanakkale,17,Orta Ölçek,2011,478330,240121,238209,339614,138716,110015,76532,239165,52618,1.2,513.8
Çanakkale,17,Orta Ölçek,2012,486647,244296,242351,350385,136262,111928,77863,243323,53533,1.2,588.4
Çanakkale,17,Orta Ölçek,2013,491105,246534,244571,358506,132599,112954,78576,245552,54023,1.2,585.3
Çanakkale,17,Orta Ölçek,2014,498600,250297,248303,368964,129636,114678,79776,249300,54846,1.2,840.8
Çanakkale,17,Orta Ölçek,2015,502472,252240,250232,376854,125618,115568,80395,251236,55273,1.2,619.6
Çanakkale,17,Orta Ölçek,2016,511011,256527,254484,388368,122643,117532,81761,255505,56213,1.2,587.4
Çanakkale,17,Orta Ölçek,2017,517649,259859,257790,398589,119060,119059,82823,258824,56943,1.2,733.2
Çanakkale,17,Orta Ölçek,2018,521829,261958,259871,407026,114803,120020,83492,260914,57403,1.2,608.2
Çanakkale,17,Orta Ölçek,2019,528172,265142,263030,417255,110917,121479,84507,264086,58100,1.2,951.7
Çanakkale,17,Orta Ölçek,2020,533932,268033,265899,427145,106787,122804,85429,266966,58733,1.2,699.8
Çanakkale,17,Orta Ölçek,2021,542824,272497,270327,439687,103137,124849,86851,271412,59712,1.2,811.4
Çanakkale,17,Orta Ölçek,2022,545748,273965,271783,447513,98235,125522,87319,272874,60033,1.2,804.9
Çanakkale,17,Orta Ölçek,2023,555799,279011,276788,461313,94486,127833,88927,277899,61140,1.2,908.2
Çanakkale,17,Orta Ölçek,2024,560030,281135,278895,470425,89605,128806,89604,280015,61605,1.2,606.7
Çankırı,18,Küçük Şehir,2005,215536,108199,107337,140098,75438,49573,34485,107768,23710,0.8,314.2
Çankırı,18,Küçük Şehir,2006,215745,108303,107442,142391,73354,49621,34519,107872,23733,0.8,326.4
Çankırı,18,Küçük Şehir,2007,217478,109173,108305,145710,71768,50019,34796,108739,23924,0.8,252.0
Çankırı,18,Küçük Şehir,2008,219326,110101,109225,149141,70185,50444,35092,109663,24127,0.8,364.9
Çankırı,18,Küçük Şehir,2009,222114,111501,110613,153258,68856,51086,35538,111057,24433,0.8,260.4
Çankırı,18,Küçük Şehir,2010,223758,112326,111432,156630,67128,51464,35801,111879,24614,0.8,262.6
Çankırı,18,Küçük Şehir,2011,224776,112837,111939,159590,65186,51698,35964,112388,24726,0.8,237.4
Çankırı,18,Küçük Şehir,2012,227287,114098,113189,163646,63641,52276,36365,113643,25003,0.8,310.1
Çankırı,18,Küçük Şehir,2013,229706,115312,114394,167685,62021,52832,36752,114853,25269,0.8,271.8
Çankırı,18,Küçük Şehir,2014,230400,115660,114740,170496,59904,52992,36864,115200,25344,0.8,355.0
Çankırı,18,Küçük Şehir,2015,232936,116933,116003,174702,58234,53575,37269,116468,25624,0.8,263.5
Çankırı,18,Küçük Şehir,2016,235007,117973,117034,178605,56402,54051,37601,117503,25852,0.8,375.4
Çankırı,18,Küçük Şehir,2017,236008,118476,117532,181726,54282,54281,37761,118004,25962,0.8,406.2
Çankırı,18,Küçük Şehir,2018,239191,120073,119118,186568,52623,55013,38270,119595,26313,0.8,406.1
Çankırı,18,Küçük Şehir,2019,239638,120298,119340,189314,50324,55116,38342,119819,26361,0.8,278.3
Çankırı,18,Küçük Şehir,2020,242528,121749,120779,194022,48506,55781,38804,121264,26679,0.8,270.1
Çankırı,18,Küçük Şehir,2021,245229,123104,122125,198635,46594,56402,39236,122614,26977,0.8,293.0
Çankırı,18,Küçük Şehir,2022,245717,123349,122368,201487,44230,56514,39314,122858,27031,0.8,329.4
Çankırı,18,Küçük Şehir,2023,248242,124617,123625,206040,42202,57095,39718,124121,27308,0.8,285.0
Çankırı,18,Küçük Şehir,2024,249554,125276,124278,209625,39929,57397,39928,124777,27452,0.8,377.0
Çorum,19,Orta Ölçek,2005,420615,211148,209467,273399,147216,96741,67298,210307,46269,1.2,610.5
Çorum,19,Orta Ölçek,2006,428173,214942,213231,282594,145579,98479,68507,214086,47101,1.2,589.8
Çorum,19,Orta Ölçek,2007,431177,216450,214727,288888,142289,99170,68988,215588,47431,1.2,518.2
Çorum,19,Orta Ölçek,2008,437640,219695,217945,297595,140045,100657,70022,218820,48141,1.2,510.1
Çorum,19,Orta Ölçek,2009,443448,222610,220838,305979,137469,101993,70951,221724,48780,1.2,568.5
Çorum,19,Orta Ölçek,2010,449907,225853,224054,314934,134973,103478,71985,224953,49491,1.2,510.1
Çorum,19,Orta Ölçek,2011,453240,227526,225714,321800,131440,104245,72518,226620,49857,1.2,719.4
Çorum,19,Orta Ölçek,2012,460197,231018,229179,331341,128856,105845,73631,230098,50623,1.2,510.8
Çorum,19,Orta Ölçek,2013,464950,233404,231546,339413,125537,106938,74392,232475,51145,1.2,521.8
Çorum,19,Orta Ölçek,2014,471784,236835,234949,349120,122664,108510,75485,235892,51897,1.2,709.4
Çorum,19,Orta Ölçek,2015,477254,239581,237673,357940,119314,109768,76360,238627,52499,1.2,771.0
Çorum,19,Orta Ölçek,2016,483351,242642,240709,367346,116005,111170,77336,241675,53170,1.2,813.7
Çorum,19,Orta Ölçek,2017,486339,244142,242197,374481,111858,111857,77814,243169,53499,1.2,601.9
Çorum,19,Orta Ölçek,2018,493475,247724,245751,384910,108565,113499,78956,246737,54283,1.2,543.5
Çorum,19,Orta Ölçek,2019,499145,250570,248575,394324,104821,114803,79863,249572,54907,1.2,555.2
Çorum,19,Orta Ölçek,2020,504777,253398,251379,403821,100956,116098,80764,252388,55527,1.2,701.1
Çorum,19,Orta Ölçek,2021,511443,256744,254699,414268,97175,117631,81830,255721,56261,1.2,617.7
Çorum,19,Orta Ölçek,2022,515242,258651,256591,422498,92744,118505,82438,257621,56678,1.2,770.2
Çorum,19,Orta Ölçek,2023,525884,263993,261891,436483,89401,120953,84141,262942,57848,1.2,777.9
Çorum,19,Orta Ölçek,2024,529647,265882,263765,444903,84744,121818,84743,264823,58263,1.2,692.3
Denizli,20,Orta Ölçek,2005,841102,422233,418869,546716,294386,193453,134576,420551,92522,1.2,1316.3
Denizli,20,Orta Ölçek,2006,850451,426926,423525,561297,289154,195603,136072,425225,93551,1.2,978.7
Denizli,20,Orta Ölçek,2007,858799,431117,427682,575395,283404,197523,137407,429399,94470,1.2,1270.4
Denizli,20,Orta Ölçek,2008,866690,435078,431612,589349,277341,199338,138670,433345,95337,1.2,1404.7
Denizli,20,Orta Ölçek,2009,880115,441817,438298,607279,272836,202426,140818,440057,96814,1.2,961.9
Denizli,20,Orta Ölçek,2010,887315,445432,441883,621120,266195,204082,141970,443657,97606,1.2,1412.9
Denizli,20,Orta Ölçek,2011,901342,452473,448869,639952,261390,207308,144214,450671,99149,1.2,1176.7
Denizli,20,Orta Ölçek,2012,908645,456139,452506,654224,254421,208988,145383,454322,99952,1.2,1183.1
Denizli,20,Orta Ölçek,2013,919867,461773,458094,671502,248365,211569,147178,459933,101187,1.2,1572.4
Denizli,20,Orta Ölçek,2014,930396,467058,463338,688493,241903,213991,148863,465198,102344,1.2,1138.8
Denizli,20,Orta Ölçek,2015,944948,474363,470585,708711,236237,217338,151191,472474,103945,1.2,1241.7
Denizli,20,Orta Ölçek,2016,951651,477728,473923,723254,228397,218879,152264,475825,104683,1.2,1232.7
Denizli,20,Orta Ölçek,2017,961962,482904,479058,740710,221252,221251,153913,480981,105817,1.2,1135.7
Denizli,20,Orta Ölçek,2018,978000,490956,487044,762840,215160,224940,156480,489000,107580,1.2,1188.3
Denizli,20,Orta Ölçek,2019,989139,496547,492592,781419,207720,227501,158262,494569,108807,1.2,1281.3
Denizli,20,Orta Ölçek,2020,999230,501613,497617,799384,199846,229822,159876,499615,109917,1.2,1405.4
Denizli,20,Orta Ölçek,2021,1009229,506632,502597,817475,191754,232122,161476,504614,111017,1.2,1625.2
Denizli,20,Orta Ölçek,2022,1023091,513591,509500,838934,184157,235310,163694,511545,112542,1.2,1634.3
Denizli,20,Orta Ölçek,2023,1038500,521327,517173,861955,176545,238855,166160,519250,114235,1.2,1213.2
Denizli,20,Orta Ölçek,2024,1050905,527554,523351,882760,168145,241708,168144,525452,115601,1.2,1478.1
Diyarbakır,21,Büyük Şehir,2005,1282273,643701,638572,833477,448796,294922,205163,641136,141052,1.8,1460.4
Diyarbakır,21,Büyük Şehir,2006,1308925,657080,651845,863890,445035,301052,209428,654462,143983,1.8,1684.6
Diyarbakır,21,Büyük Şehir,2007,1326533,665919,660614,888777,437756,305102,212245,663266,145920,1.8,1456.1
Diyarbakır,21,Büyük Şehir,2008,1358166,681799,676367,923552,434614,312378,217306,679083,149399,1.8,1725.8
Diyarbakır,21,Büyük Şehir,2009,1375341,690421,684920,948985,426356,316328,220054,687670,151289,1.8,2046.6
Diyarbakır,21,Büyük Şehir,2010,1396747,701166,695581,977722,419025,321251,223479,698373,153644,1.8,2379.5
Diyarbakır,21,Büyük Şehir,2011,1421161,713422,707739,1009024,412137,326867,227385,710580,156329,1.8,1589.7
Diyarbakır,21,Büyük Şehir,2012,1448465,727129,721336,1042894,405571,333146,231754,724232,159333,1.8,2359.1
Diyarbakır,21,Büyük Şehir,2013,1482856,744393,738463,1082484,400372,341056,237256,741428,163116,1.8,1726.3
Diyarbakır,21,Büyük Şehir,2014,1510017,758028,751989,1117412,392605,347303,241602,755008,166104,1.8,1799.8
Diyarbakır,21,Büyük Şehir,2015,1537389,771769,765620,1153041,384348,353599,245982,768694,169114,1.8,2030.9
Diyarbakır,21,Büyük Şehir,2016,1553090,779651,773439,1180348,372742,357210,248494,776545,170841,1.8,2335.5
Diyarbakır,21,Büyük Şehir,2017,1591782,799074,792708,1225672,366110,366109,254685,795891,175097,1.8,2183.5
Diyarbakır,21,Büyük Şehir,2018,1620848,813665,807183,1264261,356587,372795,259335,810424,178294,1.8,1869.5
Diyarbakır,21,Büyük Şehir,2019,1648930,827762,821168,1302654,346276,379253,263828,824465,181384,1.8,2739.1
Diyarbakır,21,Büyük Şehir,2020,1675197,840948,834249,1340157,335040,385295,268031,837598,184273,1.8,2003.8
Diyarbakır,21,Büyük Şehir,2021,1714391,860624,853767,1388656,325735,394309,274302,857195,188585,1.8,2824.4
Diyarbakır,21,Büyük Şehir,2022,1738753,872854,865899,1425777,312976,399913,278200,869376,191264,1.8,2050.4
Diyarbakır,21,Büyük Şehir,2023,1765246,886153,879093,1465154,300092,406006,282439,882623,194178,1.8,2129.4
Diyarbakır,21,Büyük Şehir,2024,1797685,902437,895248,1510055,287630,413467,287629,898842,197747,1.8,2017.6
Edirne,22,Küçük Şehir,2005,352315,176862,175453,229004,123311,81032,56370,176157,38756,0.8,393.2
Edirne,22,Küçük Şehir,2006,355146,178283,176863,234396,120750,81683,56823,177573,39067,0.8,637.6
Edirne,22,Küçük Şehir,2007,358752,180093,178659,240363,118389,82512,57400,179376,39464,0.8,472.0
Edirne,22,Küçük Şehir,2008,361391,181418,179973,245745,115646,83119,57822,180695,39755,0.8,440.2
Edirne,22,Küçük Şehir,2009,365504,183483,182021,252197,113307,84065,58480,182752,40207,0.8,459.2
Edirne,22,Küçük Şehir,2010,368351,184912,183439,257845,110506,84720,58936,184175,40520,0.8,567.6
Edirne,22,Küçük Şehir,2011,370905,186194,184711,263342,107563,85308,59344,185452,40801,0.8,394.2
Edirne,22,Küçük Şehir,2012,373729,187611,186118,269084,104645,85957,59796,186864,41112,0.8,550.4
Edirne,22,Küçük Şehir,2013,376424,188964,187460,274789,101635,86577,60227,188212,41408,0.8,457.9
Edirne,22,Küçük Şehir,2014,379596,190557,189039,280901,98695,87307,60735,189798,41756,0.8,566.6
Edirne,22,Küçük Şehir,2015,382204,191866,190338,286653,95551,87906,61152,191102,42044,0.8,406.6
Edirne,22,Küçük Şehir,2016,385845,193694,192151,293242,92603,88744,61735,192922,42444,0.8,499.2
Edirne,22,Küçük Şehir,2017,387379,194464,192915,298281,89098,89097,61980,193689,42613,0.8,581.7
Edirne,22,Küçük Şehir,2018,390249,195904,194345,304394,85855,89757,62439,195124,42929,0.8,513.5
Edirne,22,Küçük Şehir,2019,392230,196899,195331,309861,82369,90212,62756,196115,43147,0.8,492.1
Edirne,22,Küçük Şehir,2020,396781,199184,197597,317424,79357,91259,63484,198390,43648,0.8,557.3
Edirne,22,Küçük Şehir,2021,399275,200436,198839,323412,75863,91833,63884,199637,43921,0.8,719.4
Edirne,22,Küçük Şehir,2022,403701,202657,201044,331034,72667,92851,64592,201850,44408,0.8,700.9
Edirne,22,Küçük Şehir,2023,405534,203578,201956,336593,68941,93272,64885,202767,44610,0.8,611.7
Edirne,22,Küçük Şehir,2024,407982,204806,203176,342704,65278,93835,65277,203991,44879,0.8,657.0
Elazığ,23,Orta Ölçek,2005,477111,239509,237602,310122,166989,109735,76337,238555,52484,1.2,659.0
Elazığ,23,Orta Ölçek,2006,485145,243542,241603,320195,164950,111583,77623,242572,53367,1.2,797.9
Elazığ,23,Orta Ölçek,2007,489149,245552,243597,327729,161420,112504,78263,244574,53808,1.2,655.7
Elazığ,23,Orta Ölçek,2008,493960,247967,245993,335892,158068,113610,79033,246980,54337,1.2,545.8
Elazığ,23,Orta Ölçek,2009,501718,251862,249856,346185,155533,115395,80274,250859,55190,1.2,658.4
Elazığ,23,Orta Ölçek,2010,509076,255556,253520,356353,152723,117087,81452,254538,55999,1.2,800.4
Elazığ,23,Orta Ölçek,2011,511970,257008,254962,363498,148472,117753,81915,255985,56317,1.2,541.2
Elazığ,23,Orta Ölçek,2012,517858,259964,257894,372857,145001,119107,82857,258929,56965,1.2,581.2
Elazığ,23,Orta Ölçek,2013,526569,264337,262232,384395,142174,121110,84251,263284,57924,1.2,947.1
Elazığ,23,Orta Ölçek,2014,530735,266428,264307,392743,137992,122069,84917,265367,58382,1.2,746.5
Elazığ,23,Orta Ölçek,2015,538686,270420,268266,404014,134672,123897,86189,269343,59257,1.2,671.7
Elazığ,23,Orta Ölçek,2016,546473,274329,272144,415319,131154,125688,87435,273236,60114,1.2,915.4
Elazığ,23,Orta Ölçek,2017,554116,278166,275950,426669,127447,127446,88658,277058,60954,1.2,812.5
Elazığ,23,Orta Ölçek,2018,559388,280812,278576,436322,123066,128659,89502,279694,61533,1.2,632.8
Elazığ,23,Orta Ölçek,2019,564519,283388,281131,445970,118549,129839,90323,282259,62098,1.2,833.9
Elazığ,23,Orta Ölçek,2020,569445,285861,283584,455556,113889,130972,91111,284722,62640,1.2,609.7
Elazığ,23,Orta Ölçek,2021,576942,289624,287318,467323,109619,132696,92310,288471,63465,1.2,891.7
Elazığ,23,Orta Ölçek,2022,587411,294880,292531,481677,105734,135104,93985,293705,64617,1.2,778.0
Elazığ,23,Orta Ölçek,2023,592390,297379,295011,491683,100707,136249,94782,296195,65164,1.2,1042.9
Elazığ,23,Orta Ölçek,2024,597023,299705,297318,501499,95524,137315,95523,298511,65674,1.2,738.9
Erzincan,24,Küçük Şehir,2005,205823,103323,102500,133784,72039,47339,32931,102911,22642,0.8,229.2
Erzincan,24,Küçük Şehir,2006,207704,104267,103437,137084,70620,47771,33232,103852,22849,0.8,355.0
Erzincan,24,Küçük Şehir,2007,210239,105539,104700,140860,69379,48354,33638,105119,23128,0.8,239.5
Erzincan,24,Küçük Şehir,2008,210418,105629,104789,143084,67334,48396,33666,105209,23147,0.8,282.1
Erzincan,24,Küçük Şehir,2009,212971,106911,106060,146949,66022,48983,34075,106485,23428,0.8,225.1
Erzincan,24,Küçük Şehir,2010,213757,107306,106451,149629,64128,49164,34201,106878,23514,0.8,348.7
Erzincan,24,Küçük Şehir,2011,215865,108364,107501,153264,62601,49648,34538,107932,23747,0.8,327.1
Erzincan,24,Küçük Şehir,2012,217236,109052,108184,156409,60827,49964,34757,108618,23897,0.8,233.1
Erzincan,24,Küçük Şehir,2013,219489,110183,109306,160226,59263,50482,35118,109744,24145,0.8,261.9
Erzincan,24,Küçük Şehir,2014,221298,111091,110207,163760,57538,50898,35407,110649,24344,0.8,304.0
Erzincan,24,Küçük Şehir,2015,224163,112529,111634,168122,56041,51557,35866,112081,24659,0.8,287.8
Erzincan,24,Küçük Şehir,2016,224831,112865,111966,170871,53960,51711,35972,112415,24733,0.8,287.5
Erzincan,24,Küçük Şehir,2017,227447,114178,113269,175134,52313,52312,36391,113723,25021,0.8,305.7
Erzincan,24,Küçük Şehir,2018,228170,114541,113629,177972,50198,52479,36507,114085,25099,0.8,354.3
Erzincan,24,Küçük Şehir,2019,230413,115667,114746,182026,48387,52994,36866,115206,25347,0.8,267.0
Erzincan,24,Küçük Şehir,2020,232677,116803,115874,186141,46536,53515,37228,116338,25596,0.8,247.0
Erzincan,24,Küçük Şehir,2021,233856,117395,116461,189423,44433,53786,37416,116928,25726,0.8,405.3
Erzincan,24,Küçük Şehir,2022,235775,118359,117416,193335,42440,54228,37724,117887,25936,0.8,324.8
Erzincan,24,Küçük Şehir,2023,237694,119322,118372,197286,40408,54669,38031,118847,26147,0.8,264.1
Erzincan,24,Küçük Şehir,2024,241034,120999,120035,202468,38566,55437,38565,120517,26515,0.8,273.0
Erzurum,25,Orta Ölçek,2005,595119,298749,296370,386827,208292,136877,95219,297559,65464,1.2,806.4
Erzurum,25,Orta Ölçek,2006,603527,302970,300557,398327,205200,138811,96564,301763,66389,1.2,890.2
Erzurum,25,Orta Ölçek,2007,614431,308444,305987,411668,202763,141319,98308,307215,67589,1.2,1039.6
Erzurum,25,Orta Ölçek,2008,620665,311573,309092,422052,198613,142752,99306,310332,68275,1.2,738.9
Erzurum,25,Orta Ölçek,2009,627979,315245,312734,433305,194674,144435,100476,313989,69079,1.2,670.9
Erzurum,25,Orta Ölçek,2010,631885,317206,314679,442319,189566,145333,101101,315942,69509,1.2,693.6
Erzurum,25,Orta Ölçek,2011,641956,322261,319695,455788,186168,147649,102712,320978,70617,1.2,906.7
Erzurum,25,Orta Ölçek,2012,649058,325827,323231,467321,181737,149283,103849,324529,71397,1.2,711.7
Erzurum,25,Orta Ölçek,2013,659477,331057,328420,481418,178059,151679,105516,329738,72544,1.2,1006.8
Erzurum,25,Orta Ölçek,2014,664352,333504,330848,491620,172732,152800,106296,332176,73080,1.2,899.0
Erzurum,25,Orta Ölçek,2015,673510,338102,335408,505132,168378,154907,107761,336755,74087,1.2,785.9
Erzurum,25,Orta Ölçek,2016,678964,340839,338125,516012,162952,156161,108634,339482,74687,1.2,718.5
Erzurum,25,Orta Ölçek,2017,692737,347753,344984,533407,159330,159329,110837,346368,76203,1.2,861.6
Erzurum,25,Orta Ölçek,2018,700122,351461,348661,546095,154027,161028,112019,350061,77014,1.2,927.3
Erzurum,25,Orta Ölçek,2019,708940,355887,353053,560062,148878,163056,113430,354470,77984,1.2,1181.6
Erzurum,25,Orta Ölçek,2020,715745,359303,356442,572596,143149,164621,114519,357872,78733,1.2,1280.4
